"";"Taxa";"BL";"FR";"BD";"MO";"AM";"LS";"OT";"OS";"CS";"id";"name";"AphiaID";"url";"scientificname";"authority";"status";"unacceptreason";"taxonRankID";"rank";"valid_AphiaID";"valid_name";"valid_authority";"parentNameUsageID";"kingdom";"phylum";"class";"order";"family";"genus";"citation";"lsid";"isMarine";"isBrackish";"isFreshwater";"isTerrestrial";"isExtinct";"match_type";"modified";"Kingdom";"Phylum";"Subphylum";"Superclass";"Class";"Subclass";"Superorder";"Order";"Suborder";"Infraorder";"Parvorder";"Superfamily";"Family";"Genus";"Species";"Infraclass";"Subterclass";"Subfamily";"Tribe";"Section";"Subsection";"Subgenus";"Subspecies"
"286";"Phoronis";3;3;2;3;1;1;3;4;1;286;"Phoronis";128545;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=128545";"Phoronis";"Wright, 1856";"accepted";NA;180;"Genus";128545;"Phoronis";"Wright, 1856";148378;"Animalia";"Phoronida";NA;NA;"Phoronidae";"Phoronis";"WoRMS (2021). Phoronis Wright, 1856. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=128545 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:128545";1;1;NA;NA;NA;"exact";"2020-12-25T20:32:34.500Z";"Animalia";"Phoronida";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Phoronidae";"Phoronis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"287";"Photis longicaudata";1;2;3;1;1;1;1;3;1;287;"Photis longicaudata";102383;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102383";"Photis longicaudata";"(Spence Bate & Westwood, 1862)";"accepted";NA;220;"Species";102383;"Photis longicaudata";"(Spence Bate & Westwood, 1862)";101563;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Photidae";"Photis";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Photis longicaudata (Spence Bate & Westwood, 1862). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102383 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102383";1;0;0;0;0;"exact";"2019-11-06T08:42:08.663Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Senticaudata";"Corophiida";"Caprellidira";"Photoidea";"Photidae";"Photis";"Photis longicaudata";NA;NA;NA;NA;NA;NA;NA;NA
"288";"Phyllodoce";3;2;2;2;2;3;3;3;1;288;"Phyllodoce";129455;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129455";"Phyllodoce";"Lamarck, 1818";"accepted";NA;180;"Genus";129455;"Phyllodoce";"Lamarck, 1818";155424;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Phyllodocidae";"Phyllodoce";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Phyllodoce Lamarck, 1818. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129455 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129455";1;0;0;0;0;"exact";"2020-02-12T01:25:56.753Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Errantia";NA;"Phyllodocida";"Phyllodociformia";NA;NA;NA;"Phyllodocidae";"Phyllodoce";NA;NA;NA;"Phyllodocinae";NA;NA;NA;NA;NA
"289";"Pisidia longicornis";1;3;4;2;1;2;3;3;2;289;"Pisidia longicornis";107188;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107188";"Pisidia longicornis";"(Linnaeus, 1767)";"accepted";NA;220;"Species";107188;"Pisidia longicornis";"(Linnaeus, 1767)";106837;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Porcellanidae";"Pisidia";"WoRMS (2021). Pisidia longicornis (Linnaeus, 1767). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107188 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107188";1;NA;NA;NA;0;"exact";"2020-12-31T11:09:59.637Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Anomura";NA;"Galatheoidea";"Porcellanidae";"Pisidia";"Pisidia longicornis";NA;NA;NA;NA;NA;NA;NA;NA
"290";"Pisione remota";3;2;3;2;2;2;3;4;1;290;"Pisione remota";130707;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130707";"Pisione remota";"(Southern, 1914)";"accepted";NA;220;"Species";130707;"Pisione remota";"(Southern, 1914)";129469;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Sigalionidae";"Pisione";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Pisione remota (Southern, 1914). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130707 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130707";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Errantia";NA;"Phyllodocida";"Aphroditiformia";NA;NA;NA;"Sigalionidae";"Pisione";"Pisione remota";NA;NA;"Pisioninae";NA;NA;NA;NA;NA
"291";"Plesionika heterocarpus";3;2;4;1;2;3;2;1;2;291;"Plesionika heterocarpus";107660;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107660";"Plesionika heterocarpus";"(A. Costa, 1871)";"accepted";NA;220;"Species";107660;"Plesionika heterocarpus";"(A. Costa, 1871)";107046;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Pandalidae";"Plesionika";"WoRMS (2021). Plesionika heterocarpus (A. Costa, 1871). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107660 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107660";1;NA;0;0;NA;"exact";"2011-12-01T06:37:19.107Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Pandaloidea";"Pandalidae";"Plesionika";"Plesionika heterocarpus";NA;NA;NA;NA;NA;NA;NA;NA
"292";"Plesionika martia";3;2;4;1;2;2;2;1;2;292;"Plesionika martia";107661;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107661";"Plesionika martia";"(A. Milne-Edwards, 1883)";"accepted";NA;220;"Species";107661;"Plesionika martia";"(A. Milne-Edwards, 1883)";107046;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Pandalidae";"Plesionika";"WoRMS (2021). Plesionika martia (A. Milne-Edwards, 1883). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107661 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107661";1;NA;NA;NA;0;"exact";"2020-09-29T08:14:57.607Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Pandaloidea";"Pandalidae";"Plesionika";"Plesionika martia";NA;NA;NA;NA;NA;NA;NA;NA
"293";"Poecilochaetus serpens";3;3;3;3;1;1;3;3;1;293;"Poecilochaetus serpens";130711;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=130711";"Poecilochaetus serpens";"Allen, 1904";"accepted";NA;220;"Species";130711;"Poecilochaetus serpens";"Allen, 1904";129471;"Animalia";"Annelida";"Polychaeta";"Spionida";"Poecilochaetidae";"Poecilochaetus";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Poecilochaetus serpens Allen, 1904. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=130711 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:130711";1;0;0;0;0;"exact";"2008-03-26T11:36:43.420Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;"Spionida";"Spioniformia";NA;NA;NA;"Poecilochaetidae";"Poecilochaetus";"Poecilochaetus serpens";"Canalipalpata";NA;NA;NA;NA;NA;NA;NA
"294";"Polititapes rhomboides";3;1;3;2;3;4;3;4;2;294;"Polititapes rhomboides";745846;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=745846";"Polititapes rhomboides";"(Pennant, 1777)";"accepted";NA;220;"Species";745846;"Polititapes rhomboides";"(Pennant, 1777)";246149;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Polititapes";"MolluscaBase eds. (2021). MolluscaBase. Polititapes rhomboides (Pennant, 1777). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=745846 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:745846";1;NA;NA;NA;NA;"exact";"2013-12-17T18:28:30.837Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Venerida";NA;NA;NA;"Veneroidea";"Veneridae";"Polititapes";"Polititapes rhomboides";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"295";"Polybius henslowii";2;2;3;1;2;2;2;1;2;295;"Polybius henslowii";107399;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107399";"Polybius henslowii";"Leach, 1820 [in Leach, 1815-1875]";"accepted";NA;220;"Species";107399;"Polybius henslowii";"Leach, 1820 [in Leach, 1815-1875]";106928;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Polybiidae";"Polybius";"WoRMS (2021). Polybius henslowii Leach, 1820 [in Leach, 1815-1875]. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107399 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107399";1;NA;NA;NA;0;"exact";"2020-05-26T07:07:48.327Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Portunoidea";"Polybiidae";"Polybius";"Polybius henslowii";NA;NA;NA;NA;"Eubrachyura";"Heterotremata";NA;NA
"296";"Polycheles typhlops";3;1;1;1;3;3;2;1;2;296;"Polycheles typhlops";107696;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107696";"Polycheles typhlops";"Heller, 1862";"accepted";NA;220;"Species";107696;"Polycheles typhlops";"Heller, 1862";107056;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Polychelidae";"Polycheles";"WoRMS (2021). Polycheles typhlops Heller, 1862. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107696 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107696";1;NA;NA;NA;0;"exact";"2020-10-21T12:40:18.220Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Polychelida";NA;NA;"Polychelidae";"Polycheles";"Polycheles typhlops";NA;NA;NA;NA;NA;NA;NA;NA
"297";"Polydora";2;3;3;3;1;1;2;3;1;297;"Polydora";129619;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129619";"Polydora";"Bosc, 1802";"accepted";NA;180;"Genus";129619;"Polydora";"Bosc, 1802";913;"Animalia";"Annelida";"Polychaeta";"Spionida";"Spionidae";"Polydora";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Polydora Bosc, 1802. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129619 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129619";1;0;0;0;0;"exact";"2016-03-30T22:28:39.120Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;"Spionida";"Spioniformia";NA;NA;NA;"Spionidae";"Polydora";NA;"Canalipalpata";NA;NA;NA;NA;NA;NA;NA
"298";"Pontocrates altamarinus";1;1;3;1;1;2;1;1;1;298;"Pontocrates altamarinus";102916;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102916";"Pontocrates altamarinus";"(Spence Bate & Westwood, 1862)";"accepted";NA;220;"Species";102916;"Pontocrates altamarinus";"(Spence Bate & Westwood, 1862)";101702;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Oedicerotidae";"Pontocrates";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Pontocrates altamarinus (Spence Bate & Westwood, 1862). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102916 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102916";1;0;0;0;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Amphilochidea";"Amphilochida";"Oedicerotidira";"Oedicerotoidea";"Oedicerotidae";"Pontocrates";"Pontocrates altamarinus";NA;NA;NA;NA;NA;NA;NA;NA
"299";"Pontocrates arcticus";1;1;3;1;1;1;1;1;1;299;"Pontocrates arcticus";102917;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102917";"Pontocrates arcticus";"G.O. Sars, 1895";"accepted";NA;220;"Species";102917;"Pontocrates arcticus";"G.O. Sars, 1895";101702;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Oedicerotidae";"Pontocrates";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Pontocrates arcticus G.O. Sars, 1895. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102917 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102917";1;0;0;0;NA;"exact";"2016-10-03T12:55:38.653Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Amphilochidea";"Amphilochida";"Oedicerotidira";"Oedicerotoidea";"Oedicerotidae";"Pontocrates";"Pontocrates arcticus";NA;NA;NA;NA;NA;NA;NA;NA
"300";"Pontocrates arenarius";1;1;3;1;1;2;1;1;1;300;"Pontocrates arenarius";102918;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102918";"Pontocrates arenarius";"(Spence Bate, 1858)";"accepted";NA;220;"Species";102918;"Pontocrates arenarius";"(Spence Bate, 1858)";101702;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Oedicerotidae";"Pontocrates";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Pontocrates arenarius (Spence Bate, 1858). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102918 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102918";1;0;0;0;NA;"exact";"2018-09-27T12:15:28.593Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Amphilochidea";"Amphilochida";"Oedicerotidira";"Oedicerotoidea";"Oedicerotidae";"Pontocrates";"Pontocrates arenarius";NA;NA;NA;NA;NA;NA;NA;NA
"301";"Pontophilus norvegicus";3;2;3;1;2;2;2;1;2;301;"Pontophilus norvegicus";107563;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107563";"Pontophilus norvegicus";"(M. Sars, 1861)";"accepted";NA;220;"Species";107563;"Pontophilus norvegicus";"(M. Sars, 1861)";107011;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Crangonidae";"Pontophilus";"WoRMS (2021). Pontophilus norvegicus (M. Sars, 1861). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107563 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107563";1;NA;0;0;NA;"exact";"2011-12-02T06:36:29.333Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Crangonoidea";"Crangonidae";"Pontophilus";"Pontophilus norvegicus";NA;NA;NA;NA;NA;NA;NA;NA
"302";"Pontophilus spinosus";3;2;3;1;2;2;2;1;2;302;"Pontophilus spinosus";107564;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107564";"Pontophilus spinosus";"(Leach, 1816)";"accepted";NA;220;"Species";107564;"Pontophilus spinosus";"(Leach, 1816)";107011;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Crangonidae";"Pontophilus";"WoRMS (2021). Pontophilus spinosus (Leach, 1816). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107564 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107564";1;NA;0;0;0;"exact";"2020-05-24T06:57:53.810Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Crangonoidea";"Crangonidae";"Pontophilus";"Pontophilus spinosus";NA;NA;NA;NA;NA;NA;NA;NA
"303";"Porania (Porania) pulvillus";4;1;4;2;2;3;3;3;2;303;"Porania (Porania) pulvillus";125166;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=125166";"Porania (Porania) pulvillus";"(O.F. Müller, 1776)";"accepted";NA;220;"Species";125166;"Porania (Porania) pulvillus";"(O.F. Müller, 1776)";123644;"Animalia";"Echinodermata";"Asteroidea";"Valvatida";"Poraniidae";"Porania";"Mah, C.L. (2021). World Asteroidea Database. Porania (Porania) pulvillus (O.F. Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125166 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:125166";1;0;0;0;0;"exact";"2009-01-30T03:03:03Z";"Animalia";"Echinodermata";"Asterozoa";NA;"Asteroidea";NA;"Valvatacea";"Valvatida";NA;NA;NA;NA;"Poraniidae";"Porania";"Porania (Porania) pulvillus";NA;NA;NA;NA;NA;NA;"Porania (Porania)";NA
"304";"Porania (Porania) pulvillus pulvillus";4;1;4;2;2;3;3;3;2;304;"Porania (Porania) pulvillus pulvillus";125232;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=125232";"Porania (Porania) pulvillus pulvillus";"(O.F. Müller, 1776)";"accepted";NA;230;"Subspecies";125232;"Porania (Porania) pulvillus pulvillus";"(O.F. Müller, 1776)";125166;"Animalia";"Echinodermata";"Asteroidea";"Valvatida";"Poraniidae";"Porania";"Mah, C.L. (2021). World Asteroidea Database. Porania (Porania) pulvillus pulvillus (O.F. Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125232 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:125232";1;0;0;0;0;"exact";"2009-01-30T03:03:03Z";"Animalia";"Echinodermata";"Asterozoa";NA;"Asteroidea";NA;"Valvatacea";"Valvatida";NA;NA;NA;NA;"Poraniidae";"Porania";"Porania (Porania) pulvillus";NA;NA;NA;NA;NA;NA;"Porania (Porania)";"Porania (Porania) pulvillus pulvillus"
"305";"Portumnus latipes";3;3;2;1;1;2;2;1;1,2;305;"Portumnus latipes";107400;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107400";"Portumnus latipes";"(Pennant, 1777)";"accepted";NA;220;"Species";107400;"Portumnus latipes";"(Pennant, 1777)";106929;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Carcinidae";"Portumnus";"WoRMS (2021). Portumnus latipes (Pennant, 1777). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107400 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107400";1;NA;NA;NA;NA;"exact";"2007-06-12T14:12:52.753Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Brachyura";NA;"Portunoidea";"Carcinidae";"Portumnus";"Portumnus latipes";NA;NA;"Platyonichinae";NA;"Eubrachyura";"Heterotremata";NA;NA
"306";"Prionospio";3;2;3;3;1;1;3;3;1;306;"Prionospio";129620;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=129620";"Prionospio";"Malmgren, 1867";"accepted";NA;180;"Genus";129620;"Prionospio";"Malmgren, 1867";913;"Animalia";"Annelida";"Polychaeta";"Spionida";"Spionidae";"Prionospio";"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Prionospio Malmgren, 1867. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=129620 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:129620";1;0;0;0;0;"exact";"2016-05-29T12:39:25.410Z";"Animalia";"Annelida";NA;NA;"Polychaeta";"Sedentaria";NA;"Spionida";"Spioniformia";NA;NA;NA;"Spionidae";"Prionospio";NA;"Canalipalpata";NA;NA;NA;NA;NA;NA;NA
"307";"Processa";2;2;3;1;1;2;2;1;2;307;"Processa";107054;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107054";"Processa";"Leach, 1815 [in Leach, 1815-1875]";"accepted";NA;180;"Genus";107054;"Processa";"Leach, 1815 [in Leach, 1815-1875]";106791;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Processidae";"Processa";"WoRMS (2021). Processa Leach, 1815 [in Leach, 1815-1875]. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107054 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107054";1;NA;NA;NA;NA;"exact";"2020-05-26T08:18:01.350Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Processoidea";"Processidae";"Processa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"308";"Processa canaliculata";2;2;3;1;1;2;2;1;2;308;"Processa canaliculata";107682;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107682";"Processa canaliculata";"Leach, 1815 [in Leach, 1815-1875]";"accepted";NA;220;"Species";107682;"Processa canaliculata";"Leach, 1815 [in Leach, 1815-1875]";107054;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Processidae";"Processa";"WoRMS (2021). Processa canaliculata Leach, 1815 [in Leach, 1815-1875]. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107682 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107682";1;NA;0;0;0;"exact";"2020-05-26T08:18:01.350Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Processoidea";"Processidae";"Processa";"Processa canaliculata";NA;NA;NA;NA;NA;NA;NA;NA
"309";"Processa elegantula";2;2;3;1;1;2;2;1;2;309;"Processa elegantula";107684;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=107684";"Processa elegantula";"Nouvel & Holthuis, 1957";"accepted";NA;220;"Species";107684;"Processa elegantula";"Nouvel & Holthuis, 1957";107054;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Processidae";"Processa";"WoRMS (2021). Processa elegantula Nouvel & Holthuis, 1957. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107684 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:107684";1;NA;0;0;NA;"exact";"2007-06-04T11:36:54.840Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Processoidea";"Processidae";"Processa";"Processa elegantula";NA;NA;NA;NA;NA;NA;NA;NA
"310";"Processa nouveli holthuisi";2;2;3;1;1;2;2;1;2;310;"Processa nouveli holthuisi";108344;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=108344";"Processa nouveli holthuisi";"Al-Adhub & Williamson, 1975";"accepted";NA;230;"Subspecies";108344;"Processa nouveli holthuisi";"Al-Adhub & Williamson, 1975";107689;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Processidae";"Processa";"WoRMS (2021). Processa nouveli holthuisi Al-Adhub & Williamson, 1975. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=108344 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:108344";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Eucarida";"Decapoda";"Pleocyemata";"Caridea";NA;"Processoidea";"Processidae";"Processa";"Processa nouveli";NA;NA;NA;NA;NA;NA;NA;"Processa nouveli holthuisi"
"311";"Psammechinus miliaris";3;3;4;2;2;3;3;4;1,2;311;"Psammechinus miliaris";124319;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=124319";"Psammechinus miliaris";"(P.L.S. Müller, 1771)";"accepted";NA;220;"Species";124319;"Psammechinus miliaris";"(P.L.S. Müller, 1771)";123389;"Animalia";"Echinodermata";"Echinoidea";"Camarodonta";"Parechinidae";"Psammechinus";"Kroh, A.; Mooi, R. (2021). World Echinoidea Database. Psammechinus miliaris (P.L.S. Müller, 1771). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=124319 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:124319";1;0;0;0;0;"exact";"2013-08-26T18:24:18.240Z";"Animalia";"Echinodermata";"Echinozoa";NA;"Echinoidea";"Euechinoidea";"Echinacea";"Camarodonta";NA;"Echinidea";NA;NA;"Parechinidae";"Psammechinus";"Psammechinus miliaris";"Carinacea";NA;NA;NA;NA;NA;NA;NA
